CHANNEL;OXYGEN AIR SAT;TIME ABS;TIME REL;
1;21.343;1635800687.9424045;0.01908564567565918;
2;21.224;1635800688.6170397;0.693720817565918;
1;21.347;1635800689.3651025;1.4417836666107178;
2;21.215;1635800689.9685028;2.0451838970184326;
1;21.335;1635800690.6792712;2.7559523582458496;
2;21.21;1635800691.2851899;3.3618710041046143;
1;21.348;1635800692.0154345;4.092115640640259;
2;21.201;1635800692.6224644;4.699145555496216;
1;21.343;1635800693.3246326;5.401313781738281;
2;21.187;1635800693.9316316;6.008312702178955;
1;21.342;1635800694.6356435;6.712324619293213;
2;21.189;1635800695.322431;7.399112224578857;
1;21.349;1635800696.0324197;8.109100818634033;
2;21.191;1635800696.6244364;8.701117515563965;
1;21.351;1635800697.3518095;9.42849063873291;
2;21.212;1635800697.9456427;10.022323846817017;
1;21.363;1635800698.6553116;10.731992721557617;
2;21.235;1635800699.256514;11.333195209503174;
1;21.35;1635800699.9722703;12.048951387405396;
2;21.242;1635800700.5652635;12.641944646835327;
1;21.343;1635800701.2921917;13.368872880935669;
2;21.236;1635800701.8867958;13.96347689628601;
1;21.345;1635800702.597314;14.673995018005371;
2;21.252;1635800703.2044027;15.281083822250366;
1;21.344;1635800703.9091897;15.985870838165283;
2;21.27;1635800704.5269492;16.603630304336548;
1;21.337;1635800705.2435505;17.320231676101685;
2;21.246;1635800705.8795235;17.956204652786255;
1;21.329;1635800706.5898685;18.666549682617188;
2;21.23;1635800707.1861794;19.262860536575317;
1;21.343;1635800707.910859;19.987540245056152;
2;21.267;1635800708.5140462;20.59072732925415;
1;21.338;1635800709.2359064;21.31258749961853;
2;21.26;1635800709.8385856;21.915266752243042;
1;21.336;1635800710.548566;22.62524724006653;
2;21.243;1635800711.151296;23.22797703742981;
1;21.342;1635800711.8605711;23.937252283096313;
2;21.219;1635800712.4594176;24.53609871864319;
1;21.345;1635800713.2511437;25.32782483100891;
2;21.204;1635800713.8597057;25.936386823654175;
1;21.342;1635800714.562427;26.639108180999756;
2;21.192;1635800715.1721764;27.248857498168945;
1;21.34;1635800715.8889396;27.965620756149292;
2;21.183;1635800716.4899147;28.566595792770386;
1;21.333;1635800717.1997068;29.276387929916382;
2;21.222;1635800717.8029778;29.879658937454224;
1;21.329;1635800718.5137174;30.59039855003357;
2;21.234;1635800719.1213422;31.198023319244385;
1;21.335;1635800719.8479812;31.924662351608276;
2;21.25;1635800720.4550393;32.53172039985657;
1;21.337;1635800721.1817396;33.25842070579529;
2;21.242;1635800721.7841694;33.86085057258606;
1;21.341;1635800722.5247135;34.60139465332031;
2;21.23;1635800723.1551766;35.231857776641846;
1;21.334;1635800723.8594282;35.9361093044281;
2;21.213;1635800724.4662447;36.54292583465576;
1;21.343;1635800725.1940203;37.27070140838623;
2;21.278;1635800725.7962577;37.87293887138367;
1;21.341;1635800726.5115464;38.58822751045227;
2;21.283;1635800727.1192808;39.19596195220947;
1;21.339;1635800727.8359306;39.91261172294617;
2;21.25;1635800728.435829;40.51251006126404;
1;21.339;1635800729.147491;41.22417211532593;
2;21.231;1635800729.7452745;41.82195568084717;
1;21.342;1635800730.535251;42.611932039260864;
2;21.219;1635800731.146154;43.222835063934326;
1;21.338;1635800731.85703;43.93371105194092;
2;21.212;1635800732.4618847;44.53856587409973;
1;21.344;1635800733.1872616;45.26394271850586;
2;21.194;1635800733.7842133;45.860894441604614;
1;21.335;1635800734.5155184;46.5921995639801;
2;21.212;1635800735.1087718;47.185452938079834;
1;21.346;1635800735.8281605;47.90484166145325;
2;21.21;1635800736.440497;48.51717805862427;
1;21.344;1635800737.2165067;49.293187856674194;
2;21.216;1635800737.8235073;49.90018844604492;
1;21.352;1635800738.53738;50.61406111717224;
2;21.23;1635800739.13418;51.21086120605469;
1;21.348;1635800739.8439744;51.920655488967896;
2;21.216;1635800740.43528;52.511961221694946;
1;21.341;1635800741.1461189;53.2228000164032;
2;21.221;1635800741.7461107;53.82279181480408;
1;21.334;1635800742.4579902;54.53467130661011;
2;21.212;1635800743.061332;55.13801312446594;
1;21.342;1635800743.7902825;55.866963624954224;
2;21.212;1635800744.4015708;56.478251934051514;
1;21.347;1635800745.1106272;57.1873083114624;
2;21.196;1635800745.7076998;57.78438091278076;
1;21.341;1635800746.4232275;58.499908685684204;
2;21.193;1635800747.027668;59.10434913635254;
1;21.337;1635800747.8120136;59.888694763183594;
2;21.188;1635800748.4134011;60.49008226394653;
1;21.344;1635800749.1250355;61.20171666145325;
2;21.189;1635800749.7212472;61.79792833328247;
1;21.343;1635800750.4424;62.519081115722656;
2;21.195;1635800751.0440686;63.120749711990356;
1;21.349;1635800751.754591;63.83127212524414;
2;21.19;1635800752.35072;64.42740106582642;
1;21.334;1635800753.0601373;65.13681840896606;
2;21.2;1635800753.6598916;65.73657274246216;
1;21.35;1635800754.3691087;66.44578981399536;
2;21.23;1635800754.971995;67.04867625236511;
1;21.34;1635800755.6850164;67.76169753074646;
2;21.232;1635800756.2826827;68.35936379432678;
1;21.342;1635800756.9935586;69.07023978233337;
2;21.224;1635800757.595481;69.67216205596924;
1;21.341;1635800758.3062782;70.38295936584473;
2;21.216;1635800758.9189043;70.99558544158936;
1;21.336;1635800759.6297116;71.70639276504517;
2;21.215;1635800760.227673;72.30435419082642;
