CHANNEL;OXYGEN AIR SAT;TIME ABS;TIME REL;
1;21.349;1635800440.7698104;0.022434711456298828;
2;21.237;1635800441.1121094;0.3647336959838867;
1;21.351;1635800441.6052685;0.8578927516937256;
2;21.238;1635800441.9713356;1.2239599227905273;
1;21.347;1635800442.4357815;1.6884057521820068;
2;21.226;1635800442.7805316;2.033155918121338;
1;21.35;1635800443.2349443;2.4875686168670654;
2;21.224;1635800443.5877419;2.8403661251068115;
1;21.346;1635800444.0581174;3.310741662979126;
2;21.216;1635800444.409415;3.662039279937744;
1;21.354;1635800444.9280381;4.180662393569946;
2;21.205;1635800445.276519;4.529143333435059;
1;21.357;1635800445.7320938;4.984718084335327;
2;21.2;1635800446.0743182;5.326942443847656;
1;21.348;1635800446.5465574;5.799181699752808;
2;21.199;1635800446.8931744;6.145798683166504;
1;21.347;1635800447.3640375;6.616661787033081;
2;21.188;1635800447.711324;6.9639482498168945;
1;21.347;1635800448.1920009;7.44462513923645;
2;21.197;1635800448.5473797;7.800004005432129;
1;21.349;1635800449.0142155;8.266839742660522;
2;21.193;1635800449.4413273;8.693951606750488;
1;21.344;1635800449.90941;9.162034273147583;
2;21.186;1635800450.27281;9.525434255599976;
1;21.341;1635800450.7415867;9.994210958480835;
2;21.183;1635800451.112742;10.365366220474243;
1;21.353;1635800451.5836635;10.8362877368927;
2;21.183;1635800451.9315693;11.18419361114502;
1;21.348;1635800452.3867211;11.639345407485962;
2;21.185;1635800452.7353723;11.987996578216553;
1;21.349;1635800453.207726;12.460350275039673;
2;21.19;1635800453.5650282;12.817652463912964;
1;21.354;1635800454.0953095;13.347933769226074;
2;21.19;1635800454.4476728;13.700297117233276;
1;21.352;1635800454.91749;14.170114278793335;
2;21.194;1635800455.2637808;14.51640510559082;
1;21.348;1635800455.7211382;14.973762512207031;
2;21.208;1635800456.0752106;15.327834844589233;
1;21.348;1635800456.5287657;15.781389951705933;
2;21.204;1635800456.8747916;16.127415895462036;
1;21.35;1635800457.3476455;16.60026979446411;
2;21.211;1635800457.7062688;16.958893060684204;
1;21.345;1635800458.177103;17.42972731590271;
2;21.213;1635800458.5894935;17.84211778640747;
1;21.351;1635800459.0428522;18.29547643661499;
2;21.204;1635800459.401185;18.653809309005737;
1;21.344;1635800459.9054005;19.158024787902832;
2;21.203;1635800460.2474198;19.500044107437134;
1;21.338;1635800460.702163;19.954787254333496;
2;21.203;1635800461.0547667;20.307390928268433;
1;21.353;1635800461.5244439;20.77706813812256;
2;21.203;1635800461.8818731;21.13449740409851;
1;21.347;1635800462.3523374;21.60496163368225;
2;21.196;1635800462.7026052;21.95522952079773;
1;21.345;1635800463.1714594;22.424083709716797;
2;21.199;1635800463.5107753;22.763399600982666;
1;21.352;1635800463.984987;23.237611293792725;
2;21.194;1635800464.4009945;23.653618812561035;
1;21.349;1635800464.8572917;24.10991597175598;
2;21.189;1635800465.2020173;24.454641580581665;
1;21.348;1635800465.68607;24.93869423866272;
2;21.193;1635800466.0910084;25.343632698059082;
1;21.35;1635800466.5606196;25.813243865966797;
2;21.186;1635800466.9100308;26.162655115127563;
1;21.342;1635800467.3805804;26.633204698562622;
2;21.187;1635800467.727031;26.979655265808105;
1;21.351;1635800468.1859004;27.43852472305298;
2;21.19;1635800468.532196;27.784820318222046;
1;21.345;1635800469.0065305;28.259154796600342;
2;21.199;1635800469.358839;28.61146330833435;
1;21.35;1635800469.8216584;29.0742826461792;
2;21.227;1635800470.1853013;29.437925577163696;
1;21.343;1635800470.656127;29.908751249313354;
2;21.256;1635800471.012487;30.265111207962036;
1;21.355;1635800471.4787648;30.731389045715332;
2;21.271;1635800471.8385193;31.09114360809326;
1;21.343;1635800472.3118625;31.564486742019653;
2;21.281;1635800472.6550603;31.907684564590454;
